original_price,name,review,releaseday,discount,score,link,current_price
¥ 12,Uno - Just Dance Theme Cards,unknown,"3 Jan, 2017",-50%,unknown,http://store.steampowered.com/app/560941/?snr=1_7_7_204_150_18,¥ 6
¥ 40,Rocksmith® 2014 – Megadeth Song Pack II,unknown,"19 Jan, 2016",-40%,unknown,http://store.steampowered.com/app/390435/?snr=1_7_7_204_150_18,¥ 24
¥ 112,Train Simulator: Clear Creek Narrow Gauge Route Add-On,96% of the 26 user reviews for this game are positive.,"12 May, 2016",-30%,Positive,http://store.steampowered.com/app/325976/?snr=1_7_7_204_150_18,¥ 78
¥ 40,Rocksmith® 2014 – Rush Song Pack II,unknown,"23 Aug, 2016",-40%,unknown,http://store.steampowered.com/app/492963/?snr=1_7_7_204_150_18,¥ 24
¥ 36,Ember,77% of the 302 user reviews for this game are positive.,"9 Sep, 2016",-75%,Mostly Positive,http://store.steampowered.com/app/339580/?snr=1_7_7_204_150_18,¥ 9
¥ 29,Tom Clancy's Rainbow Six® Siege - Racer GSG 9 Pack,87% of the 16 user reviews for this game are positive.,"28 Jun, 2016",-41%,Positive,http://store.steampowered.com/app/488812/?snr=1_7_7_204_150_18,¥ 17
¥ 48,Kim,84% of the 13 user reviews for this game are positive.,"24 Oct, 2016",-50%,Positive,http://store.steampowered.com/app/433400/?snr=1_7_7_204_150_18,¥ 24
¥ 40,Rocksmith® 2014 – System of a Down Song Pack,unknown,"28 Jan, 2014",-40%,unknown,http://store.steampowered.com/app/271419/?snr=1_7_7_204_150_18,¥ 24
¥ 60,FSX Steam Edition: AH-64D Apache Longbow™ Add-On,unknown,"16 Dec, 2016",-30%,unknown,http://store.steampowered.com/app/500232/?snr=1_7_7_204_150_18,¥ 42
¥ 68,Train Simulator: DB BR 648 Loco Add-On,83% of the 18 user reviews for this game are positive.,"28 Apr, 2016",-50%,Positive,http://store.steampowered.com/app/376945/?snr=1_7_7_204_150_18,¥ 34
¥ 88,Trials Evolution: Gold Edition,"77% of the 1,547 user reviews for this game are positive.","21 Mar, 2013",-50%,Mostly Positive,http://store.steampowered.com/app/220160/?snr=1_7_7_204_150_18,¥ 44
¥ 68,FSX: Steam Edition - Lukla Airport (VNLK) Add-On,83% of the 18 user reviews for this game are positive.,"3 Sep, 2015",-50%,Positive,http://store.steampowered.com/app/379547/?snr=1_7_7_204_150_18,¥ 34
¥ 68,Train Simulator: DB BR 605 ICE TD Add-On,85% of the 27 user reviews for this game are positive.,"30 Jan, 2015",-50%,Positive,http://store.steampowered.com/app/277755/?snr=1_7_7_204_150_18,¥ 34
¥ 28,Splody,unknown,"21 Mar, 2017",-18%,unknown,http://store.steampowered.com/app/467810/?snr=1_7_7_204_150_18,¥ 23
¥ 36,Good Robot,92% of the 120 user reviews for this game are positive.,"5 Apr, 2016",-56%,Very Positive,http://store.steampowered.com/app/358830/?snr=1_7_7_204_150_14,¥ 16
¥ 48,The Black Watchmen - Season 2: Enduring Conflict,unknown,"3 Dec, 2015",-50%,unknown,http://store.steampowered.com/app/396810/?snr=1_7_7_204_150_18,¥ 24
¥ 21,Cat on a Diet,87% of the 187 user reviews for this game are positive.,"29 Feb, 2016",-86%,Very Positive,http://store.steampowered.com/app/447890/?snr=1_7_7_204_150_14,¥ 3
¥ 68,Demonheart,unknown,"24 Mar, 2017",-10%,unknown,http://store.steampowered.com/app/578900/?snr=1_7_7_204_150_14,¥ 61
¥ 6,Risky Rescue,86% of the 165 user reviews for this game are positive.,"19 Feb, 2016",-50%,Very Positive,http://store.steampowered.com/app/439910/?snr=1_7_7_204_150_16,¥ 3
¥ 88,ZOMBI,"63% of the 1,108 user reviews for this game are positive.","18 Aug, 2015",-50%,Mixed,http://store.steampowered.com/app/339230/?snr=1_7_7_204_150_18,¥ 44
¥ 78,FSX Steam Edition: C-17 Globemaster III™ Add-On,80% of the 21 user reviews for this game are positive.,"2 Aug, 2016",-31%,Positive,http://store.steampowered.com/app/471891/?snr=1_7_7_204_150_21,¥ 54
¥ 6,VOI,98% of the 100 user reviews for this game are positive.,"7 Nov, 2016",-50%,Very Positive,http://store.steampowered.com/app/545690/?snr=1_7_7_204_150_14,¥ 3
¥ 112,Train Simulator: Wherry Lines: Norwich – Great Yarmouth & Lowestoft Route Add-On,91% of the 12 user reviews for this game are positive.,"27 Oct, 2016",-30%,Positive,http://store.steampowered.com/app/376970/?snr=1_7_7_204_150_16,¥ 78
¥ 21,Ticket to Ride - Pennsylvania,unknown,"1 Sep, 2016",-71%,unknown,http://store.steampowered.com/app/457201/?snr=1_7_7_204_150_18,¥ 6
¥ 112,Train Simulator: Wakayama & Sakurai Lines Route Add-On,89% of the 48 user reviews for this game are positive.,"22 Jul, 2016",-30%,Positive,http://store.steampowered.com/app/376961/?snr=1_7_7_204_150_21,¥ 78
¥ 6,Cellar,88% of the 67 user reviews for this game are positive.,"23 Mar, 2016",-50%,Very Positive,http://store.steampowered.com/app/449060/?snr=1_7_7_204_150_14,¥ 3
¥ 68,Train Simulator: CSX AC6000CW Loco Add-On,96% of the 27 user reviews for this game are positive.,"16 Apr, 2015",-50%,Positive,http://store.steampowered.com/app/277769/?snr=1_7_7_204_150_19,¥ 34
¥ 21,The Last NightMary - A Lenda do Cabeça de Cuia,81% of the 306 user reviews for this game are positive.,"2 Nov, 2015",-86%,Very Positive,http://store.steampowered.com/app/407300/?snr=1_7_7_204_150_16,¥ 3
¥ 18,Millie,82% of the 349 user reviews for this game are positive.,"18 Apr, 2014",-83%,Very Positive,http://store.steampowered.com/app/294230/?snr=1_7_7_204_150_16,¥ 3
¥ 68,Train Simulator: DB BR 114 Loco Add-On,unknown,"10 Nov, 2016",-50%,unknown,http://store.steampowered.com/app/448180/?snr=1_7_7_204_150_18,¥ 34
¥ 21,Guards,91% of the 70 user reviews for this game are positive.,"19 Aug, 2016",-43%,Very Positive,http://store.steampowered.com/app/460340/?snr=1_7_7_204_150_15,¥ 12
¥ 28,Artifact Adventure,80% of the 61 user reviews for this game are positive.,"1 Jun, 2015",-50%,Very Positive,http://store.steampowered.com/app/359440/?snr=1_7_7_204_150_13,¥ 14
¥ 122,Train Simulator: SD40-2 Independence Loco Add-On,unknown,"4 Jul, 2013",-61%,unknown,http://store.steampowered.com/app/222589/?snr=1_7_7_204_150_21,¥ 48
¥ 40,Rocksmith® 2014 – Thirty Seconds to Mars Song Pack,unknown,"12 Jan, 2016",-40%,unknown,http://store.steampowered.com/app/390429/?snr=1_7_7_204_150_21,¥ 24
¥ 21,Frankenstein: Master of Death,"85% of the 1,365 user reviews for this game are positive.","9 Mar, 2015",-90%,Very Positive,http://store.steampowered.com/app/347430/?snr=1_7_7_204_150_14,¥ 2
¥ 48,Shadow Blade: Reload,88% of the 84 user reviews for this game are positive.,"10 Aug, 2015",-71%,Very Positive,http://store.steampowered.com/app/272330/?snr=1_7_7_204_150_14,¥ 14
¥ 35,Tom Clancy's Rainbow Six® Siege - Pulse Bushido Set,92% of the 13 user reviews for this game are positive.,"31 Jan, 2017",-40%,Positive,http://store.steampowered.com/app/568980/?snr=1_7_7_204_150_19,¥ 21
¥ 40,Rocksmith® 2014 – Disturbed Song Pack II,unknown,"12 Apr, 2016",-40%,unknown,http://store.steampowered.com/app/436603/?snr=1_7_7_204_150_19,¥ 24
¥ 29,Tom Clancy's Rainbow Six® Siege - Racer 23 Bundle,82% of the 23 user reviews for this game are positive.,"21 Jun, 2016",-41%,Positive,http://store.steampowered.com/app/488810/?snr=1_7_7_204_150_16,¥ 17
¥ 21,AI War: Destroyer of Worlds,unknown,"18 Aug, 2014",-43%,unknown,http://store.steampowered.com/app/317150/?snr=1_7_7_204_150_16,¥ 12
¥ 25,Ticket to Ride - Europe,unknown,"24 May, 2012",-72%,unknown,http://store.steampowered.com/app/108230/?snr=1_7_7_204_150_18,¥ 7
¥ 38,Teddy Floppy Ear - Mountain Adventure,88% of the 268 user reviews for this game are positive.,"9 Jan, 2015",-92%,Very Positive,http://store.steampowered.com/app/340300/?snr=1_7_7_204_150_15,¥ 3
¥ 48,Moebius: Empire Rising,81% of the 71 user reviews for this game are positive.,"15 Apr, 2014",-50%,Very Positive,http://store.steampowered.com/app/264520/?snr=1_7_7_204_150_13,¥ 24
¥ 40,Rocksmith® 2014 Edition – Remastered – Stevie Ray Vaughan & Double Trouble Song Pack,unknown,"15 Nov, 2016",-40%,unknown,http://store.steampowered.com/app/509664/?snr=1_7_7_204_150_21,¥ 24
