名称,当前价格,初始价格,折扣,发行日期,评分,评测情况,游戏主页
Grand Theft Auto V,¥ 94,¥ 189,-50%,"13 Apr, 2015",特别好评,"81% of the 182,281 user reviews for this game are positive.",http://store.steampowered.com/app/271590/?snr=1_7_7_204_150_1
Metro 2033 Redux,¥ 16,¥ 78,-79%,"28 Aug, 2014",特别好评,"90% of the 10,556 user reviews for this game are positive.",http://store.steampowered.com/app/286690/?snr=1_7_7_204_150_1
Metro: Last Light Redux,¥ 16,¥ 78,-79%,"27 Aug, 2014",特别好评,"92% of the 8,344 user reviews for this game are positive.",http://store.steampowered.com/app/287390/?snr=1_7_7_204_150_1
Metro Redux Bundle,¥ 16,¥ 78,-79%,"27 Aug, 2014",特别好评,"91% of the 18,900 user reviews for games in this bundle are positive.",http://store.steampowered.com/sub/44169/?snr=1_7_7_204_150_1
Watch_Dogs® 2,¥ 146,¥ 248,-41%,"28 Nov, 2016",特别好评,"81% of the 10,201 user reviews for this game are positive.",http://store.steampowered.com/app/447040/?snr=1_7_7_204_150_1
Killing Floor 2,¥ 44,¥ 88,-50%,"18 Nov, 2016",特别好评,"84% of the 40,618 user reviews for this game are positive.",http://store.steampowered.com/app/232090/?snr=1_7_7_204_150_1
Football Manager 2017,¥ 90,¥ 180,-50%,"3 Nov, 2016",多半差评,"38% of the 6,586 user reviews for this game are positive.",http://store.steampowered.com/app/482730/?snr=1_7_7_204_150_1
Tom Clancy’s The Division™,¥ 104,¥ 208,-50%,"7 Mar, 2016",褒贬不一,"62% of the 34,715 user reviews for this game are positive.",http://store.steampowered.com/app/365590/?snr=1_7_7_204_150_1
Assassin's Creed® Syndicate,¥ 84,¥ 168,-50%,"18 Nov, 2015",多半好评,"72% of the 4,604 user reviews for this game are positive.",http://store.steampowered.com/app/368500/?snr=1_7_7_204_150_1
RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,¥ 171,¥ 228,-25%,"25 Jan, 2017",特别好评,"90% of the 6,621 user reviews for this game are positive.",http://store.steampowered.com/app/418370/?snr=1_7_7_204_150_1
Mirror's Edge™,¥ 24,¥ 99,-76%,"14 Jan, 2009",特别好评,"88% of the 11,454 user reviews for this game are positive.",http://store.steampowered.com/app/17410/?snr=1_7_7_204_150_1
Hearts of Iron IV,¥ 67,¥ 112,-40%,"6 Jun, 2016",特别好评,"83% of the 6,948 user reviews for this game are positive.",http://store.steampowered.com/app/394360/?snr=1_7_7_204_150_1
FOR HONOR™,¥ 205,¥ 248,-17%,"13 Feb, 2017",褒贬不一,"50% of the 15,713 user reviews for this game are positive.",http://store.steampowered.com/app/304390/?snr=1_7_7_204_150_1
Assassin’s Creed® IV Black Flag™,¥ 44,¥ 88,-50%,"28 Nov, 2013",特别好评,"87% of the 16,337 user reviews for this game are positive.",http://store.steampowered.com/app/242050/?snr=1_7_7_204_150_1
